member_casual,day_of_week,mean_ride,number_of_rides
casual,Sun,26.573472937886493,338031
casual,Mon,22.503904183648704,231883
casual,Tue,19.91682247947199,232200
casual,Wed,19.159854177757886,219831
casual,Thu,20.301188432534087,251510
casual,Fri,22.80200913641913,313602
casual,Sat,25.770688873032007,409078
member,Sun,13.47624844460543,391315
member,Mon,11.697159162054549,509378
member,Tue,11.755424016903982,578063
member,Wed,11.637546212562272,541681
member,Thu,11.768405409395454,557863
member,Fri,12.134431072089901,517717
member,Sat,13.290641503252443,447326
